DATE-TIME           MJD         EXP     APE.  G_PSF  F1         F1_ERR     F2         F2_ERR     Alpha   Alpha_ERR  Beta    Beta_ERR   R.CHI2  DOF  OID         ftest   Gamma   Gamma_err  obj
2016-01-30T11:06:32 57417.46367 6905.0  20    g4     8.5817e-12 4.0576e-13 1.2095e-11 3.9981e-13 1.71474 3.7259e-02 0.00000 0.0000e+00 1.55153 77   00080902001 0.00452 1.71474 3.7259e-02 0210
2017-01-31T00:41:20 57784.02952 1508.4  20    g4     1.5572e-11 1.0284e-12 2.1810e-11 1.2660e-12 1.95871 6.8544e-02 0.00000 0.0000e+00 1.00115 32   00038918015 0.90053 1.95871 6.8544e-02 0637
2015-04-14T09:14:56 57126.38615 5534.0  20    g0     2.0836e-12 2.3318e-13 3.6993e-12 2.6405e-13 1.89514 8.2875e-02 0.00000 0.0000e+00 0.55745 17   00040529007 0.23725 1.89514 8.2875e-02 0806
2014-01-14T10:14:30 56671.42753 2617.2  20    g4     1.3007e-11 7.2480e-13 2.0578e-11 7.9258e-13 1.68691 4.1213e-02 0.00000 0.0000e+00 1.02459 54   00037396002 0.16983 1.68691 4.1213e-02 0847
2011-03-28T20:44:49 55648.86523 1785.6  20    g12    6.4356e-12 6.6248e-13 1.4098e-11 8.0312e-13 2.05652 6.6833e-02 0.00000 0.0000e+00 1.49150 26   00039154003 0.85015 2.05652 6.6833e-02 0927
2016-02-16T03:55:01 57434.16400 2497.3  20    g12    4.2489e-12 6.0141e-13 6.4282e-12 5.1510e-13 1.62710 9.2584e-02 0.00000 0.0000e+00 0.76085 14   00038213011 0.50607 1.62710 9.2584e-02 1056
2012-05-17T00:40:02 56064.02857 2009.4  40    g0     4.7423e-11 1.4264e-12 8.7041e-11 1.6544e-12 1.84076 2.2188e-02 0.00000 0.0000e+00 0.99541 172  00030375091 0.19122 1.84076 2.2188e-02 1426
2016-09-29T21:26:49 57660.89442 2322.5  20    g4     1.0672e-11 1.0273e-12 1.4026e-11 8.6727e-13 1.93152 1.3341e-01 0.00000 0.0000e+00 1.10236 17   00040014007 0.97134 1.93152 1.3341e-01 2037
2015-06-19T00:51:09 57192.03631 1985.3  20    g0     9.1973e-12 8.2140e-13 1.5089e-11 9.3729e-13 1.92533 6.8121e-02 0.00000 0.0000e+00 1.09368 27   00046559003 0.99591 1.92533 6.8121e-02 2042
2015-05-30T03:17:24 57172.13787 6752.7  20    g12    1.5587e-12 1.2995e-13 3.4116e-12 1.4817e-13 2.18338 5.6838e-02 0.00000 0.0000e+00 0.95192 32   00081714001 0.01968 2.18338 5.6838e-02 2313
2012-12-03T02:36:42 56264.10960 1506.3  40    g2psf3 1.3137e-11 1.0116e-12 2.0553e-11 1.2565e-12 1.79057 6.5871e-02 0.00000 0.0000e+00 1.06128 41   00031249025 0.13275 1.79057 6.5871e-02 0229
